result_index,product_title,product_id,score,query
1," Lansinoh 20265 Disposable Nursing Pads, 60-Count Boxes (Pack of 3)",1446,6.708870068021579,comfortable clothes
2," Seventh Generation Natural Laundry Detergent, Baby, Ultra-Concentrated Liquid, 50-Ounces Bottles (Pack of 6)",2622,6.559673310077099,comfortable clothes
3, Charlie's Soap Laundry Liquid - 1 Gal Jug - (128 Loads),503,6.4246625151826775,comfortable clothes
4, Household Essentials Hanging Cotton Canvas Laundry Hamper Bag,1270,6.132265235706047,comfortable clothes
5," Wellgate for Women Gel-Comfort Knee Support, 1 Size",3151,6.1318721089573005,comfortable clothes
6," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Nine 32-Load Bottles (288-Loads)",99,6.116672602464715,comfortable clothes
7, Lansinoh Disposable Nursing Pads,1447,6.093843818803553,comfortable clothes
8, Cramer E6 Groin Hip Spica,627,6.062436792486456,comfortable clothes
9," Duro-Med Posture Corrector, White,",837,5.93781286032686,comfortable clothes
10, OTC Elastic Abdominal Binder,2058,5.873749702097266,comfortable clothes
11, Kleinert's - 24 (12 Pair) Disposable Underarm Dress Shields From Kleinert's From $4.79 to $24.99,1413,5.832113355719067,comfortable clothes
12, Futuro Stabilizing Back Support,1035,5.782076636371395,comfortable clothes
13, Underworks Posture Perfect Band,3043,5.714872589645806,comfortable clothes
14," Win High Performance Sport Liquid Detergent, Super Oxygenated Formula, 21-Ounce Bottles (Pack of 4)",3159,5.69889548257567,comfortable clothes
15," Seventh Generation Laundry Detergent, White Flower & Bergamot Citrus, Powder, 112-Ounce Boxes (Pack of 4)",2618,5.677916910880519,comfortable clothes
16," Seventh Generation Natural Fabric Softener, Blue Eucalyptus and Lavender Scent, Ultra-Concentrated, 40-Ounce Bottles (Pack of 6)",2620,5.64344709876954,comfortable clothes
17, Rit Sun Guard Laundry Treatment UV Protectant - si,2536,5.609279381837138,comfortable clothes
18," Mrs. Meyer's Clean Day Laundry Liquid Detergent, Lemon Verbena, 64-Ounce Bottles (Case of 6)",1722,5.591923013688422,comfortable clothes
19, Desolv It Citrus Solution 12.6oz,710,5.58185767485954,comfortable clothes
20, Perwoll Black Magic Laundry Soap 750 ml,2277,5.545203939042155,comfortable clothes
21," Dry Cleaner's Secret Woolite Dry Clean at Home, Quick & Easy Dry Cleaning Cloths",789,5.542397164708595,comfortable clothes
22," Seventh Generation Natural Laundry Detergent with Non-Chlorine Bleach, Free & Clear, Powder, 112-Ounce Boxes (Pack of 4)",2621,5.524553646292011,comfortable clothes
23, Tena Ultimate Pads,2897,5.497855216906793,comfortable clothes
24," Planet Ultra Powdered Laundry Detergent, 64-Ounce Boxes (Pack of 10)",2346,5.496150567442099,comfortable clothes
25," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,5.486340446511748,comfortable clothes
26," Seventh Generation Natural Laundry Detergent, Free & Clear, Ultra-Concentrated Liquid, 150-Ounce Bottles (Pack of 3)",2623,5.479332704862769,comfortable clothes
27," Priva Waterproof Mealtime Protector, Blue Terry",2418,5.456792804247431,comfortable clothes
28," Mrs. Meyer's Clean Day Fabric Softener, 32-Ounce Bottles (Case of 6)",1721,5.420155262144513,comfortable clothes
29, Miele / Henkel ,1682,5.411933864334107,comfortable clothes
30, Jobst Relief PANTYHOSE - Firm Compression 20-30mmHg,1370,5.395824705907505,comfortable clothes
31, Crystal Body Deodorant Crystal Body Deodorant Stick,648,5.393970530348785,comfortable clothes
32," Planet Ultra Liquid Laundry Detergent, 100 Fluid-Ounce Bottles (Pack of 4)",2345,5.379021042417691,comfortable clothes
33, Thermoskin Lumbar Support in Beige,2949,5.367908625335449,comfortable clothes
34," All Small & Mighty HE Laundry Detergent for High Efficiency Washers, Triple Concentrated Liquid, Fresh Rain Scent, 32-Load Bottles (Pack of 9)",97,5.341602562611989,comfortable clothes
35," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Stainlifter, 32 Loads Per Bottle",100,5.337167142996264,comfortable clothes
36, Smartek ST-25 Deluxe Clothes Shaver,2668,5.325166206190041,comfortable clothes
37," Tide HE Detergent for High Efficiency Washers, Powder, Original Scent, 31-Load Boxes (Pack of 4)",2961,5.305885174368043,comfortable clothes
38," Bounce Fabric Softener Sheets, Outdoor Fresh Scent, 120-Count Box (Pack of 2)",347,5.2735828357449765,comfortable clothes
39, Open Knee Wrap Stabilizer,2124,5.268566472754546,comfortable clothes
40," Biokleen Premium Plus Laundry Powder, 5-Lb. Boxes (Pack of 8)",295,5.268221532192683,comfortable clothes
41, Prenatal Cradle Adjustable Prenatal Cradle,2390,5.247931584004101,comfortable clothes
42, Posture Corrective Brace,2360,5.218805176278996,comfortable clothes
43, Duro-Med Mealtime Protector,833,5.217854936427308,comfortable clothes
44, Spray N Wash Dual Pwr Pretrea - 12 Pack,2792,5.2115792072237035,comfortable clothes
45," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Free Clear, 32 loads per bottle",98,5.205535941643507,comfortable clothes
46," Depend Boost Inserts, 20 Count (Pack of 6)",696,5.175026588423761,comfortable clothes
47, Tranquility Premium OverNight Pull-On Diapers Size Medium Pk/18,2978,5.101568350832838,comfortable clothes
48," Shout Color Catcher Dye-Trapping, In-Wash Cloths - 24 ea",2634,5.041136408969857,comfortable clothes
49, Natural Selection Bath and Body's Zen Massage Oil 8 oz,1819,5.004102329410028,comfortable clothes
50, Gardus D1203615+ D3203612 LintEater System And Extension Kit,1059,4.995450640585319,comfortable clothes
1, Thermoskin Lumbar Support in Beige,2949,9.11019539769403,warm clothes
2," Mrs. Meyer's Clean Day Laundry Liquid Detergent, Lemon Verbena, 64-Ounce Bottles (Case of 6)",1722,8.98369429601904,warm clothes
3," Seventh Generation Laundry Detergent, White Flower & Bergamot Citrus, Powder, 112-Ounce Boxes (Pack of 4)",2618,8.069864833495744,warm clothes
4," Biokleen Premium Plus Laundry Powder, 5-Lb. Boxes (Pack of 8)",295,7.897961504278609,warm clothes
5," Tide HE Detergent for High Efficiency Washers, Powder, Original Scent, 31-Load Boxes (Pack of 4)",2961,7.795492556916674,warm clothes
6," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,7.586549938753785,warm clothes
7, Duro-Med Mealtime Protector,833,7.567513232960443,warm clothes
