result_index,product_title,product_id,score,query,rel
1, Blueberry Diaper Bag,319,0.66093421,comfortable clothes,3
2," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,0.611056566,comfortable clothes,5
3, Vinyl Exam Gloves. Powder Free.,3078,0.596554875,comfortable clothes,4
4," Seventh Generation Natural Fabric Softener, Blue Eucalyptus and Lavender Scent, Ultra-Concentrated, 40-Ounce Bottles (Pack of 6)",2620,0.596175969,comfortable clothes,5
5, Jobst SupportWear Ultra Sheer Knee High,1372,0.595682085,comfortable clothes,5
6, Activa Knee High Light Compression Sheer 15-20 mm Hg,74,0.589317381,comfortable clothes,5
7, FLA Safe-T-Sport Sports Neoprene Knee Support Brace,959,0.581304729,comfortable clothes,5
8," Mrs. Meyer's Clean Day Fabric Softener, 32-Ounce Bottles (Case of 6)",1721,0.57595259,comfortable clothes,5
9, Rimless Specs-tacular Tube Reader,2535,0.573241472,comfortable clothes,5
10, Jobst For Men Thigh High 15-20mmHg Ribbed Closed Toe,1368,0.571482122,comfortable clothes,5
11, Surround Air XJ-350 Electric Fabric Shaver,2846,0.569703519,comfortable clothes,4
12, Now Foods Glucosamine & Chondroitin with MSM,1977,0.566449881,comfortable clothes,4
13," Dr. Scholl's Odor Destroyers Sport Spray, 4.7-Ounce Bottles (Pack of 4)",771,0.562952638,comfortable clothes,3
14, Natural Care Vein-Gard,1808,0.561778009,comfortable clothes,3
15," Bounce Fabric Softener Sheets, Outdoor Fresh Scent, 120-Count Box (Pack of 2)",347,0.559567392,comfortable clothes,4
16, Aloe Vera Deodorant Stick by Jason 2.5 Ounces,106,0.559206069,comfortable clothes,3
17, Cotton Gloves by Allerderm - Medium Size 1 Pair,622,0.55720222,comfortable clothes,4
18," Seventh Generation Laundry Detergent, White Flower & Bergamot Citrus, Powder, 112-Ounce Boxes (Pack of 4)",2618,0.556834757,comfortable clothes,4
19," Dr Scholl's Adjustable Arch Pain Relief Orthotics, Men's 8-13, 1-Pair Packages (Pack of 2)",761,0.555301726,comfortable clothes,4
20," SwaddleBees Snap Pocket Cloth Diaper, Small, Butter",2849,0.554964423,comfortable clothes,3
21," Master Massage Deluxe Massage Table Carrying Case, 29 Inch",1593,0.552690327,comfortable clothes,4
22, Duro-Med Mealtime Protector,833,0.552585363,comfortable clothes,3
23," Activa Mens Dress Socks Microfiber Moderate Compression 20-30 mm Hg, Pinstripe",75,0.552196503,comfortable clothes,3
24, American Baby Company Cotton Terry Flat Fitted Changing Pad Cover,119,0.548680723,comfortable clothes,2
25," Seventh Generation Natural Laundry Detergent with Non-Chlorine Bleach, Free & Clear, Powder, 112-Ounce Boxes (Pack of 4)",2621,0.546576858,comfortable clothes,3
26, BARIATRIC SLIPPER SOCKS Pack of 3,199,0.54491508,comfortable clothes,3
27, Tranquility ATN (All-Through-the-Night) Disposable Brief,2977,0.543357074,comfortable clothes,3
28, Open Knee Wrap Stabilizer,2124,0.543214202,comfortable clothes,3
29, Lynco Sports 400 Series - L400,1529,0.542914569,comfortable clothes,3
30, Safe-T-Sport Neoprene Knee Sleeve - Closed Patella,2570,0.541371286,comfortable clothes,3
31," Truform 20-30 Below Knee Closed-Toe, Beige, Medium",2997,0.539209425,comfortable clothes,3
32," Seventh Generation Natural Laundry Detergent, Free & Clear, Ultra-Concentrated Liquid, 150-Ounce Bottles (Pack of 3)",2623,0.537042499,comfortable clothes,2
33," Pedifix Deluxe Nylon-Covered Metatarsal Cushion -P88, Single",2269,0.536043882,comfortable clothes,2
34," OTC ProChoice Cock-Up Wrist Splint, Right",2064,0.533958554,comfortable clothes,2
35, Jobst Women's UltraSheer Firm Support Knee Highs,1378,0.533151209,comfortable clothes,2
36," Pair of Thermoskin Wrist Brace, Hand Brace, Carpal Tunnel Brace with Dorsal Stay, Right and Left",2208,0.531577229,comfortable clothes,2
37, Zafu Yoga Sitting Meditation Cushion - Buckwheat Filling,3190,0.531047404,comfortable clothes,2
38," Casabella Waterstop Premium Rubber Gloves, Large",475,0.530714333,comfortable clothes,2
39, Crystal Body CS Twin - 2 Crystal Stick Body Deodorants,646,0.530688643,comfortable clothes,2
40," Prevail For Men Male Guards, Very Absorbent, 14 Pads (Pack of 9)",2407,0.529584706,comfortable clothes,2
41, Kiddopotamus Quickchange Portable Changing Pad,1399,0.527555227,comfortable clothes,1
42, Miele / Henkel ,1682,0.527014613,comfortable clothes,1
43, Activa Mens Dress Socks Moderate Compression 20-30 mmHg,76,0.526097178,comfortable clothes,1
44, Playtex Handsaver Gloves,2350,0.526011944,comfortable clothes,1
45, Master Massage 3-Piece Flannel Sheet Set,1589,0.525465965,comfortable clothes,1
46, #1 Rated Diaper Happy Heiny's Pocket Diaper with Free Insert,1,0.525336802,comfortable clothes,1
47," Nullo Internal Deodorant, Coated Caplets, 135 Caplets",2033,0.523482025,comfortable clothes,1
48," Planet Ultra Powdered Laundry Detergent, 64-Ounce Boxes (Pack of 10)",2346,0.521804392,comfortable clothes,1
49, Spenco Full Length Arch Cushions,2780,0.517316163,comfortable clothes,1
50, Duro-Med Deluxe flexible Sock and Stocking Aid; White,823,0.517285109,comfortable clothes,1
1, The Original Tube Reader,2918,0.612982512,warm clothes,4
2, Blueberry Diaper Bag,319,0.612198055,warm clothes,4
3, OTC Cock-Up Wrist Splint,2057,0.606884539,warm clothes,4
4, Jarrow Formulas Evening Primrose Oil,1343,0.595467269,warm clothes,4
5," Tide HE Detergent for High Efficiency Washers, Powder, Original Scent, 31-Load Boxes (Pack of 4)",2961,0.583687425,warm clothes,4
6, ADC ADVANTAGE Wrist Blood Pressure Monitor,65,0.578558445,warm clothes,4
7," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Nine 32-Load Bottles (288-Loads)",99,0.578162432,warm clothes,4
8, Zafu Yoga Sitting Meditation Cushion - Buckwheat Filling,3190,0.57248491,warm clothes,4
9, Relora 250 mg 90 Caps,2495,0.571433246,warm clothes,4
10, Now Foods Glucosamine & Chondroitin with MSM,1977,0.565388024,warm clothes,4
11," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Stainlifter, 32 Loads Per Bottle",100,0.557120562,warm clothes,4
12," Tide Powder Detergent, Original Scent, Case Pack, Two 120-Load Boxes (240-Loads)",2963,0.556222796,warm clothes,5
13, Classic Cross-Hatched Hot Water Bottle- RED- Made in Germany,530,0.555111766,warm clothes,5
14, MB1017 Reading Glasses w/Spring Hinge and Subtle Stylish Stripe,1538,0.553616345,warm clothes,4
15, Tide HE Original Scent with Actilift,2962,0.552170217,warm clothes,3
16, Jason Bodycare Deodorants (2.5 and 3 oz),1354,0.549984753,warm clothes,3
17," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,0.549140811,warm clothes,3
18," Bounce Fabric Softener Sheets, Outdoor Fresh Scent, 120-Count Box (Pack of 2)",347,0.544937193,warm clothes,3
19, Lavilin Foot Deodorant Cream,1452,0.544504583,warm clothes,4
20, Rimless Specs-tacular Tube Reader,2535,0.542773426,warm clothes,3
21, Relacore PM,2493,0.541991055,warm clothes,3
22, Chattanooga Hydrocollator Moist Heat HotPac,507,0.540427268,warm clothes,4
23, Natural Selection Bath and Body's 1/3 oz Essential Oil,1817,0.538055539,warm clothes,3
24, Vinyl Exam Gloves. Powder Free.,3078,0.538005769,warm clothes,3
25, Perwoll Black Magic Laundry Soap 750 ml,2277,0.528983355,warm clothes,3
