result_index,product_title,product_id,score,query,rel
1," Lansinoh 20265 Disposable Nursing Pads, 60-Count Boxes (Pack of 3)",1446,6.708870068,comfortable clothes,1
2," Seventh Generation Natural Laundry Detergent, Baby, Ultra-Concentrated Liquid, 50-Ounces Bottles (Pack of 6)",2622,6.55967331,comfortable clothes,5
3, Charlie's Soap Laundry Liquid - 1 Gal Jug - (128 Loads),503,6.424662515,comfortable clothes,5
4, Household Essentials Hanging Cotton Canvas Laundry Hamper Bag,1270,6.132265236,comfortable clothes,3
5," Wellgate for Women Gel-Comfort Knee Support, 1 Size",3151,6.131872109,comfortable clothes,4
6," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Nine 32-Load Bottles (288-Loads)",99,6.116672602,comfortable clothes,5
7, Lansinoh Disposable Nursing Pads,1447,6.093843819,comfortable clothes,1
8, Cramer E6 Groin Hip Spica,627,6.062436792,comfortable clothes,4
9," Duro-Med Posture Corrector, White,",837,5.93781286,comfortable clothes,4
10, OTC Elastic Abdominal Binder,2058,5.873749702,comfortable clothes,3
11, Kleinert's - 24 (12 Pair) Disposable Underarm Dress Shields From Kleinert's From $4.79 to $24.99,1413,5.832113356,comfortable clothes,4
12, Futuro Stabilizing Back Support,1035,5.782076636,comfortable clothes,4
13, Underworks Posture Perfect Band,3043,5.71487259,comfortable clothes,3
14," Win High Performance Sport Liquid Detergent, Super Oxygenated Formula, 21-Ounce Bottles (Pack of 4)",3159,5.698895483,comfortable clothes,4
15," Seventh Generation Laundry Detergent, White Flower & Bergamot Citrus, Powder, 112-Ounce Boxes (Pack of 4)",2618,5.677916911,comfortable clothes,3
16," Seventh Generation Natural Fabric Softener, Blue Eucalyptus and Lavender Scent, Ultra-Concentrated, 40-Ounce Bottles (Pack of 6)",2620,5.643447099,comfortable clothes,3
17, Rit Sun Guard Laundry Treatment UV Protectant - si,2536,5.609279382,comfortable clothes,2
18," Mrs. Meyer's Clean Day Laundry Liquid Detergent, Lemon Verbena, 64-Ounce Bottles (Case of 6)",1722,5.591923014,comfortable clothes,3
19, Desolv It Citrus Solution 12.6oz,710,5.581857675,comfortable clothes,3
20, Perwoll Black Magic Laundry Soap 750 ml,2277,5.545203939,comfortable clothes,3
21," Dry Cleaner's Secret Woolite Dry Clean at Home, Quick & Easy Dry Cleaning Cloths",789,5.542397165,comfortable clothes,3
22," Seventh Generation Natural Laundry Detergent with Non-Chlorine Bleach, Free & Clear, Powder, 112-Ounce Boxes (Pack of 4)",2621,5.524553646,comfortable clothes,3
23, Tena Ultimate Pads,2897,5.497855217,comfortable clothes,1
24," Planet Ultra Powdered Laundry Detergent, 64-Ounce Boxes (Pack of 10)",2346,5.496150567,comfortable clothes,3
25," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,5.486340447,comfortable clothes,3
26," Seventh Generation Natural Laundry Detergent, Free & Clear, Ultra-Concentrated Liquid, 150-Ounce Bottles (Pack of 3)",2623,5.479332705,comfortable clothes,3
27," Priva Waterproof Mealtime Protector, Blue Terry",2418,5.456792804,comfortable clothes,3
28," Mrs. Meyer's Clean Day Fabric Softener, 32-Ounce Bottles (Case of 6)",1721,5.420155262,comfortable clothes,3
29, Miele / Henkel ,1682,5.411933864,comfortable clothes,1
30, Jobst Relief PANTYHOSE - Firm Compression 20-30mmHg,1370,5.395824706,comfortable clothes,3
31, Crystal Body Deodorant Crystal Body Deodorant Stick,648,5.39397053,comfortable clothes,2
32," Planet Ultra Liquid Laundry Detergent, 100 Fluid-Ounce Bottles (Pack of 4)",2345,5.379021042,comfortable clothes,2
33, Thermoskin Lumbar Support in Beige,2949,5.367908625,comfortable clothes,2
34," All Small & Mighty HE Laundry Detergent for High Efficiency Washers, Triple Concentrated Liquid, Fresh Rain Scent, 32-Load Bottles (Pack of 9)",97,5.341602563,comfortable clothes,2
35," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Stainlifter, 32 Loads Per Bottle",100,5.337167143,comfortable clothes,2
36, Smartek ST-25 Deluxe Clothes Shaver,2668,5.325166206,comfortable clothes,2
37," Tide HE Detergent for High Efficiency Washers, Powder, Original Scent, 31-Load Boxes (Pack of 4)",2961,5.305885174,comfortable clothes,1
38," Bounce Fabric Softener Sheets, Outdoor Fresh Scent, 120-Count Box (Pack of 2)",347,5.273582836,comfortable clothes,1
39, Open Knee Wrap Stabilizer,2124,5.268566473,comfortable clothes,2
40," Biokleen Premium Plus Laundry Powder, 5-Lb. Boxes (Pack of 8)",295,5.268221532,comfortable clothes,2
41, Prenatal Cradle Adjustable Prenatal Cradle,2390,5.247931584,comfortable clothes,2
42, Posture Corrective Brace,2360,5.218805176,comfortable clothes,2
43, Duro-Med Mealtime Protector,833,5.217854936,comfortable clothes,1
44, Spray N Wash Dual Pwr Pretrea - 12 Pack,2792,5.211579207,comfortable clothes,2
45," All Small & Mighty, Triple Concentrated Liquid Laundry Detergent, Free Clear, 32 loads per bottle",98,5.205535942,comfortable clothes,2
46," Depend Boost Inserts, 20 Count (Pack of 6)",696,5.175026588,comfortable clothes,1
47, Tranquility Premium OverNight Pull-On Diapers Size Medium Pk/18,2978,5.101568351,comfortable clothes,1
48," Shout Color Catcher Dye-Trapping, In-Wash Cloths - 24 ea",2634,5.041136409,comfortable clothes,1
49, Natural Selection Bath and Body's Zen Massage Oil 8 oz,1819,5.004102329,comfortable clothes,1
50, Gardus D1203615+ D3203612 LintEater System And Extension Kit,1059,4.995450641,comfortable clothes,1
1, Thermoskin Lumbar Support in Beige,2949,9.110195398,warm clothes,5
2," Mrs. Meyer's Clean Day Laundry Liquid Detergent, Lemon Verbena, 64-Ounce Bottles (Case of 6)",1722,8.983694296,warm clothes,4
3," Seventh Generation Laundry Detergent, White Flower & Bergamot Citrus, Powder, 112-Ounce Boxes (Pack of 4)",2618,8.069864833,warm clothes,4
4," Biokleen Premium Plus Laundry Powder, 5-Lb. Boxes (Pack of 8)",295,7.897961504,warm clothes,4
5," Tide HE Detergent for High Efficiency Washers, Powder, Original Scent, 31-Load Boxes (Pack of 4)",2961,7.795492557,warm clothes,4
6," Seventh Generation Natural Laundry Detergent, Lavender Scented, Ultra-Concentrated Liquid, 100-Ounce Bottles (Pack of 4)",2624,7.586549939,warm clothes,4
7, Duro-Med Mealtime Protector,833,7.567513233,warm clothes,4
8, Happi Tummi Natural Colic Relief Waistband,1168,7.473896593,warm clothes,4
9," Seventh Generation Natural Laundry Detergent with Non-Chlorine Bleach, Free & Clear, Powder, 112-Ounce Boxes (Pack of 4)",2621,7.416956977,warm clothes,4
10," Dry Cleaner's Secret Woolite Dry Clean at Home, Quick & Easy Dry Cleaning Cloths",789,7.304480891,warm clothes,4
11," Win High Performance Sport Liquid Detergent, Super Oxygenated Formula, 21-Ounce Bottles (Pack of 4)",3159,7.1647447,warm clothes,4
12, Thai Deodorants Thai Deodorant Stone with Velvet Pouch,2899,7.150646681,warm clothes,4
13," Shout Color Catcher Dye-Trapping, In-Wash Cloths - 24 ea",2634,7.141345901,warm clothes,4
14, Charlie's Soap Laundry Liquid - 1 Gal Jug - (128 Loads),503,7.105296748,warm clothes,4
15," Wellgate for Women Gel-Comfort Knee Support, 1 Size",3151,6.938960857,warm clothes,5
16, Burberry Brit By Burberry For Women. Eau De Toilette Spray 3.3-Ounces,408,6.580044926,warm clothes,4
17," Kleen Free Naturally, Natural, Non-Toxic, Enzyme Solution and Multi-Purpose Cleaner",1409,6.551228475,warm clothes,4
18, Nad's Hair Removal Gel Kit 6 oz. Gel And Accessories,1785,6.523210304,warm clothes,4
19," Comfort Bath Value Size! Personal Cleansing, Ultra-Thick Disposable Washcloths, 32 ea",589,6.441122404,warm clothes,4
20, Desolv It Citrus Solution 12.6oz,710,6.316026947,warm clothes,3
21," Duro-Med Posture Corrector, White,",837,6.201185338,warm clothes,3
22, Futuro Stabilizing Back Support,1035,6.163991691,warm clothes,3
23, Chamomile Body Sugar 5 Ounces,498,5.96339076,warm clothes,3
24," Charlie's Soap Laundry Pre-Spray, 16.9 Ounce",504,5.835180097,warm clothes,3
25, Crystal Body Deodorant Crystal Body Deodorant Stick,648,5.804766194,warm clothes,3
26, Oil Eater Cleaner Degreaser 32oz,2086,5.771421221,warm clothes,3
27," Thermalon Microwave Activated Moist Heat-Cold Compress Wrap for Back, Neck, Shoulder, Head, Abdomen, 5.5"" x 18.5""",2937,5.714476964,warm clothes,4
